collection_name,link,account_name,post_text,rph_link,rph_user,rph_delta,content_leaning,content_extremity,publisher_leaning,publisher_extremity,content_side,publisher_side,discrepancy_level,toxicity,reaction_score,consensus_index,likeCount,loveCount,wowCount,hahaCount,sadCount,angryCount,thankfulCount,careCount,totalReactions,subscriberCount,positive_reactions,negative_reactions,four_reactions,rs_n_contrib,rs_n_self_contrib,share_negative,share_negative_all,reaction_composition,all_positive,all_negative,has_negative,log_total_reactions,log_four_reactions,author_posts_history,author_links_history,author_bp_links,log_author_links,log_author_posts,author_posts_sample,author_links_sample,Economy,Education,Health,Security,Culture,Religion,Disinformation,Election,Politics,Corruption
collection_0479,"https://terra.com.br/noticias/eleicoes/bolsonaro-nao-participara-de-nenhum-debate-do-2-turno-ate-a-proxima-semana,167cec75810a17110c13cfa6fb1e83a9qu407ib0.html",Gaúchos da resistência.,"Os ""médicos fascistas"" da fake Ada proíbem bossaunaro ir perder votos, e apresentar seu miolo titika de galinha, nos debates com Haddad. Bem, os judeus apoiaram, ostensivamente, a subida ao poder de Adolf Hitler. Qual a novidade no ""despacho"" médico para evitar o massacre que sofreria o bostanaro frente ao Haddad, ou qualquer outro candidato? Informações de agentes que sABIN de tudo nos bastidores do anfiteatro imperialista disseram que o segredo da doença do Bossaunaro está bem guardado nos cofres fascistas do hospital de Juiz de Fora/MG. Mas, segundo as mesmas fontes, existem auxiliares de primeira hora, socorristas e técnicos em enfermagem, que receberam o esFAKEado, aceitariam soma expressiva para CONFESSAR TODA A FRAUDE DO ATENTADO A FAKA. Com centenas de simpatizantes filmando com celulares, e tirando fotos de todos os ângulos, ATÉ HOJE ninguém mostrou o ""furo"" da fake Ada na camiseta ensaguentada. As fontes da inteligência, que sABIN de tudo, contaram que tudo foi armado para evitar expor bossaunaro na imprensa, em debates, e aproveitaram para operar o magnífico mitômano de um cisto/nodulo/tumor preocupante no abdômen. Bossaunaro só dará ""entrevistas"" no face book LENDO o que já seria pré escrito pelos seus propagandistas. E QUAL A NOVIDADE NISSO? A novidade - dizem os agentes que sABIN de tudo que a CIA sabe de tudo. E o MOSSAD idem. ",-0.203196968803879,-0.7763631901978523,0.5731662213939732,-0.203196968803879,0.203196968803879,-0.7763631901978523,0.7763631901978523,Center,Left,Very High,0.39231625,0.8116220735785953,0.19298245614035087,34,0,3,10,3,20,0,0,70,35850,34,23,57,19,1,0.40350877192982454,0.32857142857142857,Mixed,false,false,true,4.248495242049359,4.04305126783455,101,66,66,4.189654742026425,4.61512051684126,20,17,0.2321051061153412,0.22902487218379974,0.5561290979385376,0.2037404179573059,0.12882021069526672,0.10038105398416519,0.5844757556915283,0.21724294126033783,0.3028488755226135,0.25479939579963684
collection_0275,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/24/haddad-pede-ao-tse-para-ser-entrevistado-pela-globo-no-horario-do-debate.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,LULA LÁ BRILHA UMA ESTRELA,TODOS OS HOMENS SÃO IGUAIS PERANTE A LEI (Constiuição Brasileira). #PARIDADE #IGUALDADE #JUSTIÇAIMPARCIAL,-0.370197611480435,-0.8074062769906534,0.43720866551021836,-0.370197611480435,0.370197611480435,-0.8074062769906534,0.8074062769906534,Left,Left,High,0.010618322,0.9863498098859316,0.9710144927536232,62,6,1,0,0,1,0,0,70,52924,68,1,69,22,1,0.014492753623188406,0.014285714285714285,Mixed,false,false,true,4.248495242049359,4.23410650459726,152,95,95,4.553876891600541,5.0238805208462765,20,16,0.07898767292499542,0.082082599401474,0.5807467699050903,0.1661982387304306,0.04362316057085991,0.09373174607753754,0.24592408537864685,0.2734392583370209,0.16750860214233398,0.1655401885509491
collection_0359,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/30/tememos-pela-vida-de-lula-no-governo-bolsonaro-diz-gleisi.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,PARANÁ NOTÍCIAS,"Já começaram os preparativos pra queima de arquivo. Só pra lembrar que vivo o Lula se tornou num peso morto pra quadrilha, mas morto eles ganham um mártir.",-0.149928416065152,0.6666664444444629,0.8165948605096149,-0.149928416065152,0.149928416065152,0.6666664444444629,0.6666664444444629,Center,Right,Very High,0.28312725,0.7832078749276201,0.42857142857142855,20,0,1,41,0,8,0,0,70,10724,20,8,28,33,1,0.2857142857142857,0.11428571428571428,Mixed,false,false,true,4.248495242049359,3.332204510175204,4,4,4,1.3862943611198906,1.3862943611198906,1,1,0.2767801284790039,0.26274529099464417,0.3186774253845215,0.38431382179260254,0.331829309463501,0.19916412234306335,0.4515540897846222,0.6554717421531677,0.6189010739326477,0.31895068287849426
collection_1988,https://brasil247.com/geral/vox-populi-distancia-cai-para-6-pontos,Juventude Petista do RN,Vira! Vira! Vira!,-0.898305084745763,-0.9999994999999999,0.10169441525423695,-0.898305084745763,0.898305084745763,-0.9999994999999999,0.9999994999999999,Left,Left,Very Low,0.022964042,0.9991728701406121,1.0,56,13,0,1,0,0,0,0,70,4704,69,0,69,14,1,0.0,0.0,All-positive,true,false,false,4.248495242049359,4.23410650459726,2,2,2,0.6931471805599453,0.6931471805599453,1,1,0.24028313159942627,0.2578541338443756,0.29854506254196167,0.32441002130508423,0.3250177502632141,0.22144366800785065,0.565101683139801,0.6068227887153625,0.5688842535018921,0.21074944734573364
collection_1674,"https://terra.com.br/noticias/brasil/politica/tse-determina-que-facebook-e-youtube-removam-videos-de-bolsonaro-sobre-kit-gay,f186ff2552dcfa7ad5972daef96af2abnkmin876.html",Bozonaro,Ele ama as fake news kk o cara vai ganhar enganado o povo! isso antes de assumir imagina depois!,-0.183898339003402,-0.8749998723958338,0.6911015333924317,-0.183898339003402,0.183898339003402,-0.8749998723958338,0.8749998723958338,Center,Left,Very High,0.32128486,0.9069431051108968,0.8688524590163934,55,2,1,8,3,1,0,0,70,43622,57,4,61,37,1,0.06557377049180328,0.05714285714285714,Mixed,false,false,true,4.248495242049359,4.110873864173311,8,8,7,2.0794415416798357,2.0794415416798357,7,7,0.06262250989675522,0.12822483479976654,0.0761791542172432,0.09867487847805023,0.08611064404249191,0.0900031253695488,0.41776561737060547,0.1256237030029297,0.15165352821350098,0.20739389955997467
collection_1764,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/08/28/mp-acusa-haddad-de-enriquecimento-ilicito-e-pede-perda-de-direito-politico.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,"Chemtrail ,Haarp, Blue Beam - Não Queremos Isso No Brasil","Ueeeee Mais o #Haddad não o Santo do #PT, o HOnesto que Não se corrompeu com a Roubalheira petista, DIz aí Meu amigo PETISTA que é Honesto no PT mesmo?.......https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/08/28/mp-acusa-haddad-de-enriquecimento-ilicito-e-pede-perda-de-direito-politico.htm?cmpid=copiaecola&fbclid=IwAR1xgPpzoSmbu6X12XLMk6uumAy3ctdCER0jC5B4tZ6BEW02KpWyPnPA_oc",0.376291833804526,0.9999994999999999,0.6237076661954739,0.376291833804526,0.376291833804526,0.9999994999999999,0.9999994999999999,Right,Right,Very High,0.2854937,0.9444655521783182,0.9333333333333333,53,5,0,9,0,2,0,0,69,36113,58,2,60,158,1,0.03333333333333333,0.028985507246376812,Mixed,false,false,true,4.23410650459726,4.0943445622221,2,2,2,0.6931471805599453,0.6931471805599453,1,1,0.04243430122733116,0.022113502025604248,0.007728944532573223,0.02340819127857685,0.014660284854471684,0.017829863354563713,0.09121235460042953,0.09602455049753189,0.0523671954870224,0.11238686740398407
collection_1764,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/08/28/mp-acusa-haddad-de-enriquecimento-ilicito-e-pede-perda-de-direito-politico.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,GRUPO OLAVO DE CARVALHO,Outro safado que está com rabo preso e fica igual ao imbecil querendo denegrir Bolsonaro.....poste de merda.......,0.376291833804526,0.5280073430914781,0.1517155092869521,0.376291833804526,0.376291833804526,0.5280073430914781,0.5280073430914781,Right,Right,Very Low,0.85333383,0.9444268624596494,0.9622641509433962,42,10,0,16,0,1,0,0,69,123209,52,1,53,158,3,0.018867924528301886,0.014492753623188406,Mixed,false,false,true,4.23410650459726,3.970291913552122,230,123,123,4.812184355372417,5.438079308923196,36,35,0.04243430122733116,0.022113502025604248,0.007728944532573223,0.02340819127857685,0.014660284854471684,0.017829863354563713,0.09121235460042953,0.09602455049753189,0.0523671954870224,0.11238686740398407
collection_1764,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/08/28/mp-acusa-haddad-de-enriquecimento-ilicito-e-pede-perda-de-direito-politico.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,Classe Média Sem Babaquice,Eles nem disfarçam mais.,0.376291833804526,-0.36363623140497364,0.7399280652094997,0.376291833804526,0.376291833804526,-0.36363623140497364,0.36363623140497364,Right,Left,Very High,0.006125955,0.9454649100582722,0.4375,46,0,0,5,3,15,0,0,69,68825,46,18,64,158,1,0.28125,0.2608695652173913,Mixed,false,false,true,4.23410650459726,4.1588830833596715,4,4,4,1.3862943611198906,1.3862943611198906,3,3,0.04243430122733116,0.022113502025604248,0.007728944532573223,0.02340819127857685,0.014660284854471684,0.017829863354563713,0.09121235460042953,0.09602455049753189,0.0523671954870224,0.11238686740398407
collection_1637,https://apublica.org/2018/10/apoiadores-de-bolsonaro-realizaram-pelo-menos-50-ataques-em-todo-o-pais/,Agência Pública,"Na campanha de 2018, a Agência Pública monitorou a violência no país e chegou a uma conclusão objetiva: a grande maioria das agressões, pelo menos 50 das 70, foi feita por apoiadores de Bolsonaro - apenas 6 vítimas eram bolsonaristas. #Arquivo ⬇️",-0.62477129702348,-0.7499998593750029,0.1252285623515229,-0.62477129702348,0.62477129702348,-0.7499998593750029,0.7499998593750029,Left,Left,Very Low,0.13041082,0.6277858969674827,0.5294117647058824,52,0,1,0,5,11,0,0,69,216794,52,16,68,68,3,0.23529411764705882,0.2318840579710145,Mixed,false,false,true,4.23410650459726,4.219507705176107,6,4,4,1.3862943611198906,1.791759469228055,6,4,0.033460017293691635,0.10713538527488708,0.1587727814912796,0.1291496306657791,0.11892952769994736,0.05862975865602493,0.29089346528053284,0.2087159901857376,0.2516113519668579,0.17439886927604675
collection_1637,https://apublica.org/2018/10/apoiadores-de-bolsonaro-realizaram-pelo-menos-50-ataques-em-todo-o-pais/,Muda Mais,"Estamos diante de uma escalada de violência. Só não vê quem não quer. No caso o Bolsonaro, sua equipe, eleitores dele e parte da imprensa brasileira. Sim, a mesma imprensa que alega ""isenção"" para tratar desses fatos. Diante da violência não existe isenção, existe condenação e é preciso cobrar de quem a incentivou, no caso, o candidato Bolsonaro. Se você vota nele, pense bem: é isso que você quer? Relembre as frases e ações do candidato ao longo dos últimos anos: ode ao estupro, mãozinhas de armas ou qualquer equipamento que pudesse fazer alusão a uma metralhadora. O homem ensina crianças a fazer gesto com armas. Você faz isso com seus netos em casa? Ao dar seu voto a ele você dá uma carta branca para essas pessoas. Uma hora, pode ser seu filho ou neto ""confundido"" na rua. https://apublica.org/2018/10/apoiadores-de-bolsonaro-realizaram-pelo-menos-50-ataques-em-todo-o-pais/",-0.62477129702348,-0.8333331597222235,0.20856186269874355,-0.62477129702348,0.62477129702348,-0.8333331597222235,0.8333331597222235,Left,Left,Low,0.24924077,0.6285622944830106,0.029411764705882353,35,0,0,1,26,7,0,0,69,105775,35,33,68,68,1,0.4852941176470588,0.4782608695652174,Mixed,false,false,true,4.23410650459726,4.219507705176107,5,5,5,1.6094379124341003,1.6094379124341003,4,4,0.033460017293691635,0.10713538527488708,0.1587727814912796,0.1291496306657791,0.11892952769994736,0.05862975865602493,0.29089346528053284,0.2087159901857376,0.2516113519668579,0.17439886927604675
