model,n_obs,npar,AIC,BIC,logLik,R2_marginal,R2_conditional,converged
A0,4584,16,-14989.316827568342,-14841.419300625266,7517.658413784171,0.7415570341768002,0.9777447060303543,TRUE
A1,4584,17,-15018.335827761173,-14864.007973559703,7533.167913880587,0.7510574226344023,0.9768878530162609,TRUE
A2,4584,17,-15001.074661030609,-14846.746806829138,7524.537330515304,0.7516720363045323,0.9770804054981149,TRUE
A3,4584,18,-15026.094817105422,-14865.336635645557,7538.047408552711,0.7595192116004651,0.976538336094453,TRUE
A4,4584,17,-14597.17141280817,-14442.843558606699,7322.585706404085,0.12149457953455985,0.9783956610087614,TRUE
A5,4213,18,-13739.41700704148,-13580.768750492005,6894.70850352074,0.75815992948078,0.9784861219097817,TRUE
B1,4584,18,-15014.558815401993,-14853.800633942128,7532.279407700997,0.7438036786236099,0.9775367589534534,TRUE
B2,4584,18,-14998.758053414014,-14837.999871954149,7524.379026707007,0.7390819537225086,0.9776153130831935,TRUE
C,4584,20,-15046.174062329901,-14872.555226353248,7550.0870311649505,0.7618386008907584,0.9767198709983476,TRUE
