model,group,sd_intercept,sd_toxicity
C,account_name,0.29214970830841586,0.15396644485048752
C,collection_name,0.4371001731072119,0.1613989125331641
D1,account_name,0.31798639147202795,0.10066170165094153
D1,collection_name,0.9674931428401852,0.060037523102448156
D2,account_name,0.2930972995978635,0.1075996760614778
D2,collection_name,0.4546049239187065,0.12780724791707843
D3,account_name,0.4134937847615718,0.0023391215624154684
D3,collection_name,1.084659501479268,0.10023853025218221
