threshold,posts,publishers,median_reactions,median_subscribers_per_post,median_subscribers_per_publisher,mean_toxicity,pct_center_by_post,pct_center_by_publisher
1,4584,1243,290.0,149672.0,45077.0,0.12604921602381478,23.342059336823734,19.549477071600965
2,4213,879,313.0,164399.0,47877.0,0.1256656958147828,22.85782103014479,15.585893060295792
5,3412,418,398.5,199097.0,55273.5,0.12247069978818434,25.058616647127785,15.07177033492823
10,2727,204,511.0,309585.0,78230.0,0.11147559117825406,28.16281628162816,12.745098039215685
15,2240,117,611.0,413297.0,78168.0,0.1055212856508296,32.8125,15.384615384615385
