model,outcome,family,AIC,logLik,converged,R2_marginal,R2_conditional
C,Consensus Index,beta,-15046.174062412247,7550.087031206123,TRUE,0.7618385030339542,0.9767196303067911
D1,reaction negativity,beta,-19304.522127786542,9678.261063893271,TRUE,0.08833621316314731,0.6028415806198548
D2,reaction negativity,beta,-19618.071080662157,9836.035540331079,TRUE,0.39473027599076493,0.5556377220021306
D3,reaction negativity,beta-binomial,37334.57631693064,-18641.28815846532,TRUE,0.11024842196267845,0.6918718240457752
