history_bin,n_posts,r_full_loo,mean_abs_shift,median_abs_shift,degenerate
1,371,,,,true
2,297,0.8507000840522426,0.2891230250162778,0.07692306347498656,false
3-5,692,0.9527550744861971,0.13251374782434447,0.05357155978945782,false
6-10,614,0.9877519820070472,0.06403911866942755,0.036658878299253767,false
11-20,595,0.9963262570653463,0.02876823436197651,0.019047632403625836,false
21-50,797,0.9994248128257327,0.013618652002002204,0.010937522519583631,false
51+,1218,0.9999496820521576,0.0030663639964664076,0.0027463319093511407,false
